Date,Open,High,Low,Close,Adj Close,Volume
2018-09-06,11514.150391,11562.250000,11436.049805,11536.900391,11536.900391,247900
2018-09-07,11558.250000,11603.000000,11484.400391,11589.099609,11589.099609,295900
2018-09-10,11570.250000,11573.000000,11427.299805,11438.099609,11438.099609,286700
2018-09-11,11476.849609,11479.400391,11274.000000,11287.500000,11287.500000,0
2018-09-12,11340.099609,11380.750000,11250.200195,11369.900391,11369.900391,268200
2018-09-14,11443.500000,11523.250000,11430.549805,11515.200195,11515.200195,276600
2018-09-17,11464.950195,11464.950195,11366.900391,11377.750000,11377.750000,201400
2018-09-18,11381.549805,11411.450195,11268.950195,11278.900391,11278.900391,240900
2018-09-19,11326.650391,11332.049805,11210.900391,11234.349609,11234.349609,250600
2018-09-21,11271.299805,11346.799805,10866.450195,11143.099609,11143.099609,719000
2018-09-24,11164.400391,11170.150391,10943.599609,10967.400391,10967.400391,0
2018-09-25,10969.950195,11080.599609,10882.849609,11067.450195,11067.450195,405000
2018-09-26,11145.549805,11145.549805,10993.049805,11053.799805,11053.799805,340500
2018-09-27,11079.799805,11089.450195,10953.349609,10977.549805,10977.549805,405700
2018-09-28,11008.099609,11034.099609,10850.299805,10930.450195,10930.450195,478100
2018-10-01,10930.900391,11035.650391,10821.549805,11008.299805,11008.299805,387000
2018-10-03,10982.700195,10989.049805,10843.750000,10858.250000,10858.250000,386800
2018-10-04,10754.700195,10754.700195,10547.250000,10599.250000,10599.250000,425100
2018-10-05,10514.099609,10540.650391,10261.900391,10316.450195,10316.450195,606400
